date,loan_month,policy_rate_pct,inflation_yoy_pct,cpi_mom_pct,nominal_wage_monthly_approx,real_wage_growth_pct,real_policy_rate_pct,debt_burden_indicator_pct,predicted_macro_pressure,prob_Low,prob_Medium,prob_High,monthly_inflation,monthly_wage_growth
2027-02-01,14,13.499137774661794,6.8194661908404335,0.8874326484876338,6949737.598916099,0.07352434120167572,6.67967158382136,35.57363660302441,Medium,0.22531020447684413,0.752228678259713,0.022461117263442843,0.008874326484876339,0.003376085601211054
2027-03-01,15,13.499092094620734,6.815044921250322,0.8874326484876338,6971356.182118527,-0.4963352036991253,6.684047173370412,35.573606128182746,Medium,0.2186435378101774,0.7588953449263796,0.022461117263442843,0.008874326484876339,0.0031107049575223034
2027-04-01,16,13.499048126784135,6.811507905578232,0.8874326484876338,6991342.663626396,-1.0151495547960048,6.687540221205904,35.573576802904455,Medium,0.21820278476477317,0.752746950684962,0.029050264550264552,0.008874326484876339,0.0028669431005596824
2027-05-01,17,13.499005806974205,6.80867829304056,0.8874326484876338,7009820.259467159,-1.4880776934654065,6.690327513933645,35.573548583826025,Medium,0.21820278476477317,0.7523765803145916,0.02942063492063492,0.008874326484876339,0.0026429252190565133
2027-06-01,18,13.498965073418699,6.806414603010423,0.8874326484876338,7026902.8834357755,-1.9196659312540651,6.692550470408276,35.57352142921971,Medium,0.21820278476477317,0.7523765803145916,0.02942063492063492,0.008874326484876339,0.002436956061112383
2027-07-01,19,13.498925866660757,6.804603650986314,0.8874326484876338,7042695.849369653,-2.3139348577489294,6.694322215674443,35.57349529893178,Medium,0.21820278476477317,0.7523765803145916,0.02942063492063492,0.008874326484876339,0.002247500242404721
2027-08-01,20,13.49888812947211,6.8031548893670255,0.8874326484876338,7057296.520405134,-2.6744517142125677,6.695733240105085,35.573470154323196,Medium,0.21820278476477317,0.7523765803145916,0.02942063492063492,0.008874326484876339,0.002073165070274774
2027-09-01,21,13.498851806769554,6.801995880071596,0.8874326484876338,7070794.90921816,-3.0043910070407494,6.696855926697959,35.57344595821244,Medium,0.21820278476477317,0.7523765803145916,0.02942063492063492,0.008874326484876339,0.0019126855126461173
2027-10-01,22,13.498816845534542,6.801068672635251,0.8874326484876338,7083274.232949574,-3.3065855641850543,6.69774817289929,35.573422674820534,Medium,0.21820278476477317,0.7523765803145916,0.02942063492063492,0.008874326484876339,0.0017649110024593462
2027-11-01,23,13.498783194735795,6.800326906686176,0.8874326484876338,7094811.426236162,-3.5835697729921723,6.698456288049619,35.573400269718164,Medium,0.21820278476477317,0.7523765803145916,0.02942063492063492,0.008874326484876339,0.0016287938186723139
2027-12-01,24,13.498750805254822,6.799733493926916,0.8874326484876338,7105477.615510268,-3.8376163814531328,6.699017311327906,35.573378709774744,Medium,0.21820278476477317,0.7523765803145916,0.02942063492063492,0.008874326484876339,0.0015033788262028835
2028-01-01,25,13.498719629814216,6.799258763719507,0.8874326484876338,7115338.557491998,-4.070767969230172,6.699460866094709,35.573357963109416,Medium,0.21820278476477317,0.7523765803145916,0.02942063492063492,0.008874326484876339,0.0013877943912179447
2028-02-01,26,13.498689622908644,6.798878979553581,0.8874326484876338,7124455.044577327,-4.284863980073928,6.699810643355064,35.57333799904394,Medium,0.21820278476477317,0.7523765803145916,0.02942063492063492,0.008874326484876339,0.0012812443162988352
2028-03-01,27,13.498660740738435,6.79857515222084,0.8874326484876338,7132883.279621295,-4.481564038700589,6.700085588517595,35.57331878805731,Medium,0.21820278476477317,0.7523765803145916,0.02942063492063492,0.008874326484876339,0.001183000663381728
2028-04-01,28,13.498632941145638,6.798332090354647,0.8874326484876338,7140675.22242684,-4.662368142007905,6.700300850790992,35.57330030174209,Medium,0.21820278476477317,0.7523765803145916,0.02942063492063492,0.008874326484876339,0.001092397351826424
2028-05-01,29,13.498606183552491,6.798137640861692,0.8874326484876338,7147878.91007534,-4.828634208562912,6.700468542690799,35.573282512762425,Medium,0.21775834032032876,0.7294876914257028,0.05275396825396825,0.008874326484876339,0.0010088244352404185
2028-06-01,30,13.498580428902187,6.797982081267329,0.8874326484876338,7154538.7530737035,-4.981593385490724,6.700598347634858,35.57326539481363,Medium,0.21775834032032876,0.7294876914257028,0.05275396825396825,0.008874326484876339,0.000931722974346405
2028-07-01,31,13.498555639601872,6.797857633591838,0.8874326484876338,7160695.809143741,-5.122363443612739,6.700698006010033,35.573248922583275,Medium,0.21775834032032876,0.7294876914257028,0.05275396825396825,0.008874326484876339,0.0008605804346775159
